/Users/demir/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-09-15 12:49:12,016 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-250-ml-1.jpg
2025-09-15 12:49:12,036 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-250-ml-2.jpg
2025-09-15 12:49:12,081 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-250-ml-3.jpg
2025-09-15 12:49:12,130 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-250-ml-4.jpg
2025-09-15 12:49:12,180 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-250-ml-5.jpg
2025-09-15 12:49:13,188 - INFO - Processing product 28/60: PCC (Problem Control Cream) 250 ml
2025-09-15 12:49:13,189 - INFO - Fetching: https://nurederm.com/urun/pcc-problem-control-cream-250-ml
2025-09-15 12:49:13,672 - INFO - Downloaded: PCC-Problem-Control-Cream-250-ml-1.jpg
2025-09-15 12:49:13,693 - INFO - Downloaded: PCC-Problem-Control-Cream-250-ml-2.jpg
2025-09-15 12:49:13,740 - INFO - Downloaded: PCC-Problem-Control-Cream-250-ml-3.jpg
2025-09-15 12:49:13,792 - INFO - Downloaded: PCC-Problem-Control-Cream-250-ml-4.jpg
2025-09-15 12:49:13,836 - INFO - Downloaded: PCC-Problem-Control-Cream-250-ml-5.jpg
2025-09-15 12:49:14,844 - INFO - Processing product 29/60: MVC (Multi Vita Radiance Cream) 230 ml
2025-09-15 12:49:14,844 - INFO - Fetching: https://nurederm.com/urun/mvc-multi-vita-radiance-cream-230-ml
2025-09-15 12:49:14,983 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-230-ml-1.jpg
2025-09-15 12:49:15,003 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-230-ml-2.jpg
2025-09-15 12:49:15,050 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-230-ml-3.jpg
2025-09-15 12:49:15,103 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-230-ml-4.jpg
2025-09-15 12:49:15,160 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-230-ml-5.jpg
2025-09-15 12:49:16,166 - INFO - Processing product 30/60: Skin Caring Blemish Balm Cushion / Ivory
2025-09-15 12:49:16,167 - INFO - Fetching: https://nurederm.com/urun/skin-caring-blemish-balm-cushion-ivory
2025-09-15 12:49:16,326 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Ivory-1.jpg
2025-09-15 12:49:16,348 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Ivory-2.jpg
2025-09-15 12:49:16,392 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Ivory-3.jpg
2025-09-15 12:49:16,468 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Ivory-4.jpg
2025-09-15 12:49:16,548 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Ivory-5.jpg
2025-09-15 12:49:17,556 - INFO - Processing product 31/60: Skin Caring Blemish Balm Cushion / Beige
2025-09-15 12:49:17,556 - INFO - Fetching: https://nurederm.com/urun/skin-caring-blemish-balm-cushion-beige
2025-09-15 12:49:17,695 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Beige-1.jpg
2025-09-15 12:49:17,718 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Beige-2.jpg
2025-09-15 12:49:17,760 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Beige-3.jpg
2025-09-15 12:49:17,834 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Beige-4.jpg
2025-09-15 12:49:17,908 - INFO - Downloaded: Skin-Caring-Blemish-Balm-Cushion-Beige-5.jpg
2025-09-15 12:49:18,918 - INFO - Processing product 32/60: SPC (Skin Barrier Protecting Cream) 100 ml
2025-09-15 12:49:18,918 - INFO - Fetching: https://nurederm.com/urun/spc-skin-barrier-protecting-cream-100-ml
2025-09-15 12:49:19,030 - INFO - Downloaded: SPC-Skin-Barrier-Protecting-Cream-100-ml-1.jpg
2025-09-15 12:49:19,051 - INFO - Downloaded: SPC-Skin-Barrier-Protecting-Cream-100-ml-2.jpg
2025-09-15 12:49:19,094 - INFO - Downloaded: SPC-Skin-Barrier-Protecting-Cream-100-ml-3.jpg
2025-09-15 12:49:19,144 - INFO - Downloaded: SPC-Skin-Barrier-Protecting-Cream-100-ml-4.jpg
2025-09-15 12:49:19,197 - INFO - Downloaded: SPC-Skin-Barrier-Protecting-Cream-100-ml-5.jpg
2025-09-15 12:49:20,207 - INFO - Processing product 33/60: EGF Repair Oxymask Cream 50 ml
2025-09-15 12:49:20,207 - INFO - Fetching: https://nurederm.com/urun/egf-repair-oxymask-cream-50-ml
2025-09-15 12:49:20,362 - INFO - Downloaded: EGF-Repair-Oxymask-Cream-50-ml-1.jpg
2025-09-15 12:49:20,382 - INFO - Downloaded: EGF-Repair-Oxymask-Cream-50-ml-2.jpg
2025-09-15 12:49:20,431 - INFO - Downloaded: EGF-Repair-Oxymask-Cream-50-ml-3.jpg
2025-09-15 12:49:20,490 - INFO - Downloaded: EGF-Repair-Oxymask-Cream-50-ml-4.jpg
